"Coefficient","mean","sd","median","95% CI","species"
"beta.0",-4,0.5,-4,"-5.1 - -3.1","Abert's Towhee"
"beta.aspect",2.2,7.1,2.2,"-11 - 17","Abert's Towhee"
"beta.aspect_sq",12,6.5,12,"-1.6 - 24","Abert's Towhee"
"beta.barren_land",-2.7,6.8,-2.7,"-16 - 11","Abert's Towhee"
"beta.barren_land_sq",-10,6.6,-10,"-24 - 2","Abert's Towhee"
"beta.cultivated_crop",-2.8,7.2,-2.7,"-17 - 11","Abert's Towhee"
"beta.cultivated_crop_sq",-4.6,7.4,-4.5,"-19 - 9.5","Abert's Towhee"
"beta.deciduous_forest",0.36,7.2,1.1,"-16 - 13","Abert's Towhee"
"beta.deciduous_forest_sq",6.6,8.9,6.8,"-12 - 24","Abert's Towhee"
"beta.developed_high_intensity",-3.7,7.6,-3.7,"-19 - 11","Abert's Towhee"
"beta.developed_high_intensity_sq",3.5,6.8,3.5,"-10 - 17","Abert's Towhee"
"beta.developed_low_intensity",7.1,7.5,6.9,"-7.3 - 22","Abert's Towhee"
"beta.developed_low_intensity_sq",-3,6.3,-2.8,"-16 - 8.9","Abert's Towhee"
"beta.effort_hours",0.85,0.23,0.84,"0.42 - 1.3","Abert's Towhee"
"beta.elevation",-9.2,8.8,-9.1,"-27 - 7.7","Abert's Towhee"
"beta.elevation_sq",0.77,7.9,0.88,"-15 - 16","Abert's Towhee"
"beta.emergent_wetland",-7.5,7.2,-7.4,"-22 - 6","Abert's Towhee"
"beta.emergent_wetland_sq",11,8.1,11,"-8.6 - 24","Abert's Towhee"
"beta.evergreen_forest",-0.48,9.2,0.021,"-20 - 17","Abert's Towhee"
"beta.evergreen_forest_sq",-3.6,8.1,-3.5,"-20 - 12","Abert's Towhee"
"beta.grassland_herbaceous",-9.1,7.3,-9,"-24 - 4.6","Abert's Towhee"
"beta.grassland_herbaceous_sq",-0.71,6.9,-0.49,"-15 - 12","Abert's Towhee"
"beta.lakes",2.2,7,2.4,"-12 - 15","Abert's Towhee"
"beta.lakes_sq",-3.8,5.7,-3.8,"-15 - 7.5","Abert's Towhee"
"beta.max_temperature",5,8.3,5,"-11 - 21","Abert's Towhee"
"beta.max_temperature_sq",-2.7,7.2,-2.6,"-17 - 11","Abert's Towhee"
"beta.mixed_forest",-5.8,7.7,-5.4,"-22 - 8","Abert's Towhee"
"beta.mixed_forest_sq",0.092,8,-0.034,"-15 - 16","Abert's Towhee"
"beta.number_observers",0.085,0.49,0.13,"-1 - 0.93","Abert's Towhee"
"beta.ocean",0.031,10,0.079,"-20 - 19","Abert's Towhee"
"beta.ocean_sq",-0.11,10,-0.056,"-20 - 20","Abert's Towhee"
"beta.pasture_hay",1.5,8.3,1.9,"-16 - 17","Abert's Towhee"
"beta.pasture_hay_sq",-4.1,7.2,-3.8,"-19 - 9.4","Abert's Towhee"
"beta.precipitation",-0.45,8.1,-0.46,"-16 - 15","Abert's Towhee"
"beta.precipitation_sq",-4.8,7.5,-4.7,"-20 - 9.5","Abert's Towhee"
"beta.rivers",-0.66,6.7,-0.38,"-15 - 12","Abert's Towhee"
"beta.rivers_sq",-7.2,6.5,-7,"-20 - 5.3","Abert's Towhee"
"beta.shrub_scrub",0.9,7.6,1.1,"-14 - 15","Abert's Towhee"
"beta.shrub_scrub_sq",-0.24,6.1,-0.32,"-12 - 12","Abert's Towhee"
"beta.slope",-5.3,10,-4.6,"-26 - 13","Abert's Towhee"
"beta.slope_sq",-3.9,8.3,-3.7,"-20 - 11","Abert's Towhee"
"beta.time_of_day",-0.52,0.3,-0.52,"-1.1 - 0.049","Abert's Towhee"
"beta.woody_wetland",4.9,7.5,5.7,"-11 - 17","Abert's Towhee"
"beta.woody_wetland_sq",-3.3,8.4,-3.8,"-19 - 13","Abert's Towhee"
"beta.0",-4.1,0.11,-4.1,"-4.3 - -3.9","Acadian Flycatcher"
"beta.aspect",7.3,8.3,7.2,"-8.5 - 24","Acadian Flycatcher"
"beta.aspect_sq",-5.9,8.2,-5.9,"-21 - 10","Acadian Flycatcher"
"beta.barren_land",-14,7.6,-14,"-29 - 1.1","Acadian Flycatcher"
"beta.barren_land_sq",1.7,8.9,0.82,"-14 - 20","Acadian Flycatcher"
"beta.cultivated_crop",-6.4,11,-6.4,"-27 - 13","Acadian Flycatcher"
"beta.cultivated_crop_sq",-8.4,6.6,-8.5,"-21 - 5.2","Acadian Flycatcher"
"beta.deciduous_forest",33,5.6,33,"23 - 45","Acadian Flycatcher"
"beta.deciduous_forest_sq",-5.3,5.2,-5.9,"-14 - 7.1","Acadian Flycatcher"
"beta.developed_high_intensity",-23,8.3,-23,"-40 - -7","Acadian Flycatcher"
"beta.developed_high_intensity_sq",11,6.8,12,"-3 - 23","Acadian Flycatcher"
"beta.developed_low_intensity",-37,7.8,-36,"-52 - -21","Acadian Flycatcher"
"beta.developed_low_intensity_sq",23,6.2,24,"11 - 35","Acadian Flycatcher"
"beta.effort_hours",0.11,0.067,0.11,"-0.028 - 0.24","Acadian Flycatcher"
"beta.elevation",-14,6.8,-14,"-27 - -0.72","Acadian Flycatcher"
"beta.elevation_sq",15,6.7,15,"0.11 - 27","Acadian Flycatcher"
"beta.emergent_wetland",-12,7.5,-11,"-27 - 2.3","Acadian Flycatcher"
"beta.emergent_wetland_sq",1.2,7.5,1.5,"-14 - 15","Acadian Flycatcher"
"beta.evergreen_forest",8,7.5,8.2,"-7.3 - 22","Acadian Flycatcher"
"beta.evergreen_forest_sq",-14,5.9,-14,"-26 - -2.6","Acadian Flycatcher"
"beta.grassland_herbaceous",1.5,6.4,1.8,"-12 - 13","Acadian Flycatcher"
"beta.grassland_herbaceous_sq",-5.9,6.9,-5.6,"-20 - 7.2","Acadian Flycatcher"
"beta.lakes",-1.5,7.8,-1.1,"-18 - 13","Acadian Flycatcher"
"beta.lakes_sq",7.3,7.7,7.4,"-8.4 - 22","Acadian Flycatcher"
"beta.max_temperature",30,7.3,30,"16 - 45","Acadian Flycatcher"
"beta.max_temperature_sq",-32,6.4,-32,"-45 - -20","Acadian Flycatcher"
"beta.mixed_forest",18,6.2,18,"5.4 - 30","Acadian Flycatcher"
"beta.mixed_forest_sq",-1.6,5,-1.4,"-12 - 7.5","Acadian Flycatcher"
"beta.number_observers",-0.061,0.091,-0.058,"-0.25 - 0.11","Acadian Flycatcher"
"beta.ocean",-6,8,-5.8,"-22 - 9","Acadian Flycatcher"
"beta.ocean_sq",-3.8,8.5,-3.4,"-21 - 12","Acadian Flycatcher"
"beta.pasture_hay",-8.7,14,-13,"-30 - 17","Acadian Flycatcher"
"beta.pasture_hay_sq",-0.065,7.6,0.17,"-15 - 14","Acadian Flycatcher"
"beta.precipitation",-25,6.7,-25,"-38 - -12","Acadian Flycatcher"
"beta.precipitation_sq",-14,7,-13,"-27 - 0.014","Acadian Flycatcher"
"beta.rivers",1.2,6.7,1.3,"-12 - 14","Acadian Flycatcher"
"beta.rivers_sq",-13,7.8,-13,"-28 - 2.3","Acadian Flycatcher"
"beta.shrub_scrub",-11,7.4,-11,"-26 - 3.1","Acadian Flycatcher"
"beta.shrub_scrub_sq",-0.68,7.1,-0.44,"-15 - 12","Acadian Flycatcher"
"beta.slope",20,5.4,20,"9.4 - 30","Acadian Flycatcher"
"beta.slope_sq",-11,6.2,-11,"-22 - 2.3","Acadian Flycatcher"
"beta.time_of_day",-0.045,0.065,-0.045,"-0.17 - 0.084","Acadian Flycatcher"
"beta.woody_wetland",23,4.4,23,"14 - 31","Acadian Flycatcher"
"beta.woody_wetland_sq",-3.1,4,-3.1,"-11 - 4.5","Acadian Flycatcher"
"beta.0",-2.7,0.14,-2.7,"-2.9 - -2.4","Acorn Woodpecker"
"beta.aspect",-2.9,8.8,-3.6,"-18 - 15","Acorn Woodpecker"
"beta.aspect_sq",-2,5.2,-2.1,"-12 - 8.3","Acorn Woodpecker"
"beta.barren_land",-11,7.2,-10,"-26 - 2.3","Acorn Woodpecker"
"beta.barren_land_sq",3.3,6.5,3.7,"-10 - 15","Acorn Woodpecker"
"beta.cultivated_crop",-7.5,6.7,-7.6,"-20 - 5.8","Acorn Woodpecker"
"beta.cultivated_crop_sq",-1.8,4.8,-1.7,"-11 - 7.4","Acorn Woodpecker"
"beta.deciduous_forest",-1.3,5.3,-0.61,"-14 - 7.1","Acorn Woodpecker"
"beta.deciduous_forest_sq",-3.1,4.6,-2.9,"-13 - 5.2","Acorn Woodpecker"
"beta.developed_high_intensity",-19,7,-19,"-33 - -5.1","Acorn Woodpecker"
"beta.developed_high_intensity_sq",2.9,5.7,3.5,"-9.8 - 13","Acorn Woodpecker"
"beta.developed_low_intensity",-12,7.2,-12,"-25 - 2.8","Acorn Woodpecker"
"beta.developed_low_intensity_sq",-7,5.6,-6.8,"-18 - 3.9","Acorn Woodpecker"
"beta.effort_hours",0.37,0.079,0.37,"0.22 - 0.53","Acorn Woodpecker"
"beta.elevation",-8.2,7,-8.2,"-22 - 5.4","Acorn Woodpecker"
"beta.elevation_sq",-7.3,5.2,-7.1,"-18 - 2.7","Acorn Woodpecker"
"beta.emergent_wetland",-11,6.8,-11,"-25 - 0.91","Acorn Woodpecker"
"beta.emergent_wetland_sq",1.1,5.7,1.3,"-11 - 11","Acorn Woodpecker"
"beta.evergreen_forest",4.1,8,4,"-11 - 20","Acorn Woodpecker"
"beta.evergreen_forest_sq",-6.8,4.5,-6.8,"-16 - 1.8","Acorn Woodpecker"
"beta.grassland_herbaceous",3,5,3.1,"-6.6 - 13","Acorn Woodpecker"
"beta.grassland_herbaceous_sq",3,3.6,3.1,"-4.4 - 9.7","Acorn Woodpecker"
"beta.lakes",-7.5,5.1,-7.3,"-18 - 1.9","Acorn Woodpecker"
"beta.lakes_sq",-4.9,6.9,-4.2,"-20 - 7","Acorn Woodpecker"
"beta.max_temperature",11,6.3,11,"-0.86 - 24","Acorn Woodpecker"
"beta.max_temperature_sq",-25,5.5,-25,"-36 - -15","Acorn Woodpecker"
"beta.mixed_forest",11,4,11,"3.4 - 19","Acorn Woodpecker"
"beta.mixed_forest_sq",-6.1,3.3,-6.1,"-13 - 0.27","Acorn Woodpecker"
"beta.number_observers",-0.07,0.13,-0.061,"-0.35 - 0.17","Acorn Woodpecker"
"beta.ocean",-9.6,7.5,-9.6,"-24 - 4.8","Acorn Woodpecker"
"beta.ocean_sq",-3.1,6.4,-2.9,"-16 - 8.4","Acorn Woodpecker"
"beta.pasture_hay",-2,6.9,-1.5,"-16 - 10","Acorn Woodpecker"
"beta.pasture_hay_sq",-2.5,5.4,-2.2,"-13 - 7.3","Acorn Woodpecker"
"beta.precipitation",-9.7,5.6,-9.8,"-21 - 1.1","Acorn Woodpecker"
"beta.precipitation_sq",7.3,5.2,7.3,"-3.2 - 17","Acorn Woodpecker"
"beta.rivers",-6.8,7.2,-6.4,"-22 - 6.2","Acorn Woodpecker"
"beta.rivers_sq",1.3,6.6,1.3,"-12 - 14","Acorn Woodpecker"
"beta.shrub_scrub",-2.2,9.8,-2.7,"-20 - 17","Acorn Woodpecker"
"beta.shrub_scrub_sq",-5.1,4.7,-5.1,"-15 - 3.8","Acorn Woodpecker"
"beta.slope",5,5.3,4.7,"-5.3 - 17","Acorn Woodpecker"
"beta.slope_sq",-15,5.6,-15,"-25 - -3.9","Acorn Woodpecker"
"beta.time_of_day",0.12,0.091,0.12,"-0.054 - 0.3","Acorn Woodpecker"
"beta.woody_wetland",-4.2,6.8,-4.2,"-18 - 8.8","Acorn Woodpecker"
"beta.woody_wetland_sq",-8.4,5.8,-8.5,"-20 - 2.9","Acorn Woodpecker"
"beta.0",-3.7,0.1,-3.7,"-3.9 - -3.5","Alder Flycatcher"
"beta.aspect",-3.7,8.6,-4.6,"-19 - 15","Alder Flycatcher"
"beta.aspect_sq",-0.85,5.6,-1.1,"-11 - 11","Alder Flycatcher"
"beta.barren_land",-8.3,7.8,-8.1,"-24 - 6.3","Alder Flycatcher"
"beta.barren_land_sq",6.5,7,6.7,"-7.5 - 20","Alder Flycatcher"
"beta.cultivated_crop",-10,7.4,-10,"-25 - 3.7","Alder Flycatcher"
"beta.cultivated_crop_sq",2.5,6.5,2.7,"-11 - 15","Alder Flycatcher"
"beta.deciduous_forest",-4.3,6.7,-4.4,"-17 - 9","Alder Flycatcher"
"beta.deciduous_forest_sq",-3.3,5.7,-3.3,"-15 - 7.8","Alder Flycatcher"
"beta.developed_high_intensity",-15,8.3,-14,"-32 - 1.2","Alder Flycatcher"
"beta.developed_high_intensity_sq",8.2,7.6,8.4,"-7.3 - 23","Alder Flycatcher"
"beta.developed_low_intensity",-23,8.3,-23,"-39 - -6.7","Alder Flycatcher"
"beta.developed_low_intensity_sq",13,7.2,13,"-1.8 - 26","Alder Flycatcher"
"beta.effort_hours",-0.15,0.096,-0.14,"-0.34 - 0.033","Alder Flycatcher"
"beta.elevation",-8.9,7.7,-8.9,"-24 - 6.3","Alder Flycatcher"
"beta.elevation_sq",-5.7,8.1,-5.6,"-22 - 9.8","Alder Flycatcher"
"beta.emergent_wetland",17,3.5,17,"9.8 - 24","Alder Flycatcher"
"beta.emergent_wetland_sq",-7.9,3.8,-7.9,"-15 - 0.2","Alder Flycatcher"
"beta.evergreen_forest",-9.1,9.3,-9.3,"-26 - 8.7","Alder Flycatcher"
"beta.evergreen_forest_sq",-1.7,5.6,-1.8,"-13 - 9.2","Alder Flycatcher"
"beta.grassland_herbaceous",-8.7,7.8,-8.4,"-25 - 5.6","Alder Flycatcher"
"beta.grassland_herbaceous_sq",4.2,6.4,4.6,"-9.3 - 16","Alder Flycatcher"
"beta.lakes",-15,7.2,-15,"-28 - 1.6","Alder Flycatcher"
"beta.lakes_sq",6.1,4.7,6.4,"-3.7 - 15","Alder Flycatcher"
"beta.max_temperature",-25,7.8,-25,"-40 - -9.8","Alder Flycatcher"
"beta.max_temperature_sq",-5.7,7.3,-4.8,"-22 - 7.2","Alder Flycatcher"
"beta.mixed_forest",8.4,6.4,8.5,"-4.4 - 21","Alder Flycatcher"
"beta.mixed_forest_sq",-0.24,7.6,0.18,"-15 - 13","Alder Flycatcher"
"beta.number_observers",-0.031,0.089,-0.025,"-0.22 - 0.13","Alder Flycatcher"
"beta.ocean",-7.1,7.4,-6.5,"-23 - 5.9","Alder Flycatcher"
"beta.ocean_sq",1.7,6.1,2,"-11 - 13","Alder Flycatcher"
"beta.pasture_hay",13,5.2,13,"2.1 - 23","Alder Flycatcher"
"beta.pasture_hay_sq",-4,5.4,-3.8,"-15 - 5.9","Alder Flycatcher"
"beta.precipitation",9.3,6.8,9.4,"-4 - 23","Alder Flycatcher"
"beta.precipitation_sq",-15,7.6,-15,"-31 - -0.83","Alder Flycatcher"
"beta.rivers",-7,6.5,-6.8,"-20 - 5.3","Alder Flycatcher"
"beta.rivers_sq",-2.7,6.3,-2.5,"-16 - 8.8","Alder Flycatcher"
"beta.shrub_scrub",9.8,5.7,11,"-3.6 - 19","Alder Flycatcher"
"beta.shrub_scrub_sq",-7.3,7.9,-7.4,"-23 - 6.4","Alder Flycatcher"
"beta.slope",-9.9,6.9,-9.9,"-24 - 3.2","Alder Flycatcher"
"beta.slope_sq",-0.9,6.8,-0.79,"-14 - 12","Alder Flycatcher"
"beta.time_of_day",-0.038,0.069,-0.038,"-0.17 - 0.096","Alder Flycatcher"
"beta.woody_wetland",28,3.6,28,"21 - 35","Alder Flycatcher"
"beta.woody_wetland_sq",-11,3.5,-11,"-18 - -4.8","Alder Flycatcher"
"beta.0",-3.2,0.27,-3.1,"-3.7 - -2.6","Allen's Hummingbird"
"beta.aspect",5.8,7,6.2,"-8.9 - 18","Allen's Hummingbird"
"beta.aspect_sq",-0.52,4.8,-0.55,"-10 - 9","Allen's Hummingbird"
"beta.barren_land",-9.1,7.1,-8.6,"-24 - 3.4","Allen's Hummingbird"
"beta.barren_land_sq",4.5,8.3,4.3,"-11 - 21","Allen's Hummingbird"
"beta.cultivated_crop",-5.8,7.6,-5.5,"-21 - 8.6","Allen's Hummingbird"
"beta.cultivated_crop_sq",-3,8,-3,"-19 - 12","Allen's Hummingbird"
"beta.deciduous_forest",-10,7.2,-10,"-25 - 3.3","Allen's Hummingbird"
"beta.deciduous_forest_sq",2.1,6.9,2.3,"-12 - 15","Allen's Hummingbird"
"beta.developed_high_intensity",3.9,7.2,4.5,"-12 - 17","Allen's Hummingbird"
"beta.developed_high_intensity_sq",-4.6,5,-4.9,"-14 - 6","Allen's Hummingbird"
"beta.developed_low_intensity",11,5.5,11,"-0.12 - 22","Allen's Hummingbird"
"beta.developed_low_intensity_sq",-3,4.9,-3.2,"-12 - 6.9","Allen's Hummingbird"
"beta.effort_hours",0.53,0.15,0.53,"0.24 - 0.82","Allen's Hummingbird"
"beta.elevation",-1.7,9,-1.6,"-20 - 15","Allen's Hummingbird"
"beta.elevation_sq",-9.2,6.9,-9.2,"-23 - 4.3","Allen's Hummingbird"
"beta.emergent_wetland",-12,7.8,-11,"-27 - 3.2","Allen's Hummingbird"
"beta.emergent_wetland_sq",2.1,6.8,2.1,"-11 - 15","Allen's Hummingbird"
"beta.evergreen_forest",-4.8,7.3,-4.8,"-19 - 9.3","Allen's Hummingbird"
"beta.evergreen_forest_sq",4.6,6.6,4.7,"-8.3 - 17","Allen's Hummingbird"
"beta.grassland_herbaceous",-13,7.6,-13,"-27 - 2.3","Allen's Hummingbird"
"beta.grassland_herbaceous_sq",-0.75,7,-0.046,"-17 - 11","Allen's Hummingbird"
"beta.lakes",-11,7.3,-11,"-27 - 1.8","Allen's Hummingbird"
"beta.lakes_sq",3.6,6.9,3.6,"-9.8 - 17","Allen's Hummingbird"
"beta.max_temperature",-5.9,7.1,-5.9,"-20 - 8.1","Allen's Hummingbird"
"beta.max_temperature_sq",-1.6,6,-1.5,"-14 - 9.8","Allen's Hummingbird"
"beta.mixed_forest",-6.2,6.9,-6.1,"-20 - 6.9","Allen's Hummingbird"
"beta.mixed_forest_sq",-0.77,5.9,-0.49,"-13 - 10","Allen's Hummingbird"
"beta.number_observers",-0.012,0.26,0.0049,"-0.57 - 0.45","Allen's Hummingbird"
"beta.ocean",-1.9,8,-1.4,"-19 - 12","Allen's Hummingbird"
"beta.ocean_sq",-1.4,7.1,-1.4,"-16 - 12","Allen's Hummingbird"
"beta.pasture_hay",0.71,7.6,1,"-15 - 15","Allen's Hummingbird"
"beta.pasture_hay_sq",-0.2,11,-0.51,"-20 - 21","Allen's Hummingbird"
"beta.precipitation",-0.84,7,-0.73,"-15 - 12","Allen's Hummingbird"
"beta.precipitation_sq",-0.15,6,0.026,"-12 - 11","Allen's Hummingbird"
"beta.rivers",-4.5,8.5,-4.3,"-22 - 12","Allen's Hummingbird"
"beta.rivers_sq",1.4,7.8,1.3,"-14 - 17","Allen's Hummingbird"
"beta.shrub_scrub",-4.5,7.1,-4.7,"-18 - 10","Allen's Hummingbird"
"beta.shrub_scrub_sq",-6,5.5,-5.9,"-17 - 4.6","Allen's Hummingbird"
"beta.slope",-1.1,7,-1.1,"-15 - 13","Allen's Hummingbird"
"beta.slope_sq",-7.1,8.1,-7.7,"-22 - 9.6","Allen's Hummingbird"
"beta.time_of_day",-0.031,0.16,-0.03,"-0.34 - 0.28","Allen's Hummingbird"
"beta.woody_wetland",-0.8,5.2,-0.7,"-11 - 8.9","Allen's Hummingbird"
"beta.woody_wetland_sq",-0.44,6.9,-0.33,"-14 - 12","Allen's Hummingbird"
"beta.0",-4.3,0.19,-4.3,"-4.7 - -4","American Avocet"
"beta.aspect",-2.1,8.5,-2.1,"-18 - 15","American Avocet"
"beta.aspect_sq",-9.4,7.1,-9.3,"-24 - 3.9","American Avocet"
"beta.barren_land",9.5,3.7,9.6,"1.9 - 16","American Avocet"
"beta.barren_land_sq",-4.2,4.3,-4,"-13 - 3.9","American Avocet"
"beta.cultivated_crop",18,7,18,"3.1 - 31","American Avocet"
"beta.cultivated_crop_sq",-3.8,5.7,-3.8,"-15 - 7.4","American Avocet"
"beta.deciduous_forest",-11,7.7,-11,"-27 - 3.4","American Avocet"
"beta.deciduous_forest_sq",4.5,7.4,4.7,"-11 - 18","American Avocet"
"beta.developed_high_intensity",-1.9,8,-1.6,"-18 - 13","American Avocet"
"beta.developed_high_intensity_sq",2.6,7.1,3,"-12 - 15","American Avocet"
"beta.developed_low_intensity",-18,7.9,-18,"-33 - -1.9","American Avocet"
"beta.developed_low_intensity_sq",6.6,7.1,6.9,"-7.8 - 20","American Avocet"
"beta.effort_hours",0.12,0.15,0.13,"-0.18 - 0.39","American Avocet"
"beta.elevation",11,7.3,11,"-3.1 - 26","American Avocet"
"beta.elevation_sq",-3.8,6.9,-3.7,"-17 - 9.4","American Avocet"
"beta.emergent_wetland",2.2,6.7,2.6,"-12 - 14","American Avocet"
"beta.emergent_wetland_sq",-10,6.9,-10,"-24 - 3","American Avocet"
"beta.evergreen_forest",-12,8.1,-12,"-29 - 2.9","American Avocet"
"beta.evergreen_forest_sq",0.62,8.4,0.87,"-16 - 16","American Avocet"
"beta.grassland_herbaceous",6.3,6.3,6.4,"-6.2 - 19","American Avocet"
"beta.grassland_herbaceous_sq",-3.2,5.6,-3.1,"-14 - 7.4","American Avocet"
"beta.lakes",10,5.3,10,"-0.34 - 20","American Avocet"
"beta.lakes_sq",4,9.7,2.5,"-11 - 24","American Avocet"
"beta.max_temperature",-7.2,6.9,-7.2,"-21 - 6.2","American Avocet"
"beta.max_temperature_sq",-6.8,7,-6.7,"-21 - 6.5","American Avocet"
"beta.mixed_forest",-6.3,8.9,-5.8,"-25 - 9.8","American Avocet"
"beta.mixed_forest_sq",4.4,6.8,4.7,"-9.7 - 17","American Avocet"
"beta.number_observers",-0.62,0.41,-0.56,"-1.6 - -0.0075","American Avocet"
"beta.ocean",-6.2,8.1,-6,"-23 - 9.2","American Avocet"
"beta.ocean_sq",0.68,7.8,0.95,"-15 - 15","American Avocet"
"beta.pasture_hay",-0.44,7,-0.13,"-15 - 13","American Avocet"
"beta.pasture_hay_sq",-12,8.1,-12,"-28 - 4.1","American Avocet"
"beta.precipitation",-16,7.5,-16,"-31 - -1.2","American Avocet"
"beta.precipitation_sq",0.72,7.8,0.81,"-15 - 16","American Avocet"
"beta.rivers",-2.8,6.7,-2.4,"-17 - 9.2","American Avocet"
"beta.rivers_sq",-1.4,6.6,-1.1,"-15 - 11","American Avocet"
"beta.shrub_scrub",4.5,6.9,4.6,"-9.2 - 18","American Avocet"
"beta.shrub_scrub_sq",-1.8,5.9,-1.7,"-14 - 9.4","American Avocet"
"beta.slope",-15,7.8,-15,"-30 - 0.3","American Avocet"
"beta.slope_sq",0.0041,7.1,0.27,"-14 - 13","American Avocet"
"beta.time_of_day",0.14,0.14,0.14,"-0.12 - 0.41","American Avocet"
"beta.woody_wetland",-9.1,7.9,-8.8,"-25 - 5.8","American Avocet"
"beta.woody_wetland_sq",1.9,6.6,2.3,"-12 - 14","American Avocet"
"beta.0",-5.3,0.22,-5.3,"-5.7 - -4.9","American Bittern"
"beta.aspect",-0.76,8.6,-0.84,"-17 - 16","American Bittern"
"beta.aspect_sq",-2.1,8.1,-2,"-18 - 13","American Bittern"
"beta.barren_land",-5.5,7.8,-5.1,"-22 - 8.9","American Bittern"
"beta.barren_land_sq",-0.91,7.7,-0.65,"-17 - 14","American Bittern"
"beta.cultivated_crop",-2.1,8.6,-2,"-19 - 15","American Bittern"
"beta.cultivated_crop_sq",2.5,8.3,2.6,"-14 - 18","American Bittern"
"beta.deciduous_forest",1.4,8.6,1.3,"-15 - 18","American Bittern"
"beta.deciduous_forest_sq",-3.5,8.2,-3.4,"-20 - 12","American Bittern"
"beta.developed_high_intensity",-5,8.7,-4.9,"-23 - 12","American Bittern"
"beta.developed_high_intensity_sq",2.1,8.2,2.4,"-14 - 17","American Bittern"
"beta.developed_low_intensity",-5.2,8.8,-5.2,"-23 - 12","American Bittern"
"beta.developed_low_intensity_sq",1.2,8.3,1.3,"-15 - 17","American Bittern"
"beta.effort_hours",0.19,0.13,0.2,"-0.095 - 0.43","American Bittern"
"beta.elevation",-5.1,8.5,-5.1,"-22 - 11","American Bittern"
"beta.elevation_sq",-2.4,7.9,-2.3,"-18 - 13","American Bittern"
"beta.emergent_wetland",21,6.6,21,"7.1 - 33","American Bittern"
"beta.emergent_wetland_sq",-20,7.9,-20,"-35 - -3.8","American Bittern"
"beta.evergreen_forest",0.47,8.5,0.54,"-16 - 17","American Bittern"
"beta.evergreen_forest_sq",-6.1,8.6,-6,"-23 - 10","American Bittern"
"beta.grassland_herbaceous",3.9,8.5,4,"-13 - 20","American Bittern"
"beta.grassland_herbaceous_sq",-4.8,9.1,-4.6,"-23 - 12","American Bittern"
"beta.lakes",0.58,8.1,0.63,"-15 - 16","American Bittern"
"beta.lakes_sq",-1.8,8.7,-1.5,"-19 - 14","American Bittern"
"beta.max_temperature",-4.3,8.6,-4.3,"-21 - 13","American Bittern"
"beta.max_temperature_sq",-3.7,8.2,-3.4,"-20 - 12","American Bittern"
"beta.mixed_forest",-0.00093,8.6,0.092,"-17 - 17","American Bittern"
"beta.mixed_forest_sq",6.3,8.1,6.6,"-10 - 21","American Bittern"
"beta.number_observers",-0.0085,0.18,0.015,"-0.42 - 0.27","American Bittern"
"beta.ocean",-3.6,8,-3.3,"-20 - 12","American Bittern"
"beta.ocean_sq",-2.5,7.6,-2.2,"-18 - 11","American Bittern"
"beta.pasture_hay",3.7,7.5,3.8,"-11 - 18","American Bittern"
"beta.pasture_hay_sq",3.8,7.9,4.5,"-13 - 18","American Bittern"
"beta.precipitation",-3.2,8.7,-3.2,"-20 - 14","American Bittern"
"beta.precipitation_sq",-8.1,8.1,-8.1,"-24 - 7.6","American Bittern"
"beta.rivers",-4.6,7.8,-4.3,"-20 - 10","American Bittern"
"beta.rivers_sq",3.4,8.5,3.8,"-14 - 19","American Bittern"
"beta.shrub_scrub",-1.6,8.2,-1.4,"-18 - 14","American Bittern"
"beta.shrub_scrub_sq",3.5,8.3,3.8,"-14 - 19","American Bittern"
"beta.slope",2.6,8.6,2.7,"-15 - 19","American Bittern"
"beta.slope_sq",-3.2,8.1,-3,"-20 - 12","American Bittern"
"beta.time_of_day",-0.45,0.18,-0.45,"-0.81 - -0.11","American Bittern"
"beta.woody_wetland",6.8,8.6,6.7,"-9.8 - 24","American Bittern"
"beta.woody_wetland_sq",-0.15,7.9,0.37,"-17 - 14","American Bittern"
"beta.0",-4.3,0.13,-4.3,"-4.6 - -4.1","American Coot"
"beta.aspect",5.7,6.9,5.5,"-7.2 - 20","American Coot"
"beta.aspect_sq",-12,11,-14,"-29 - 11","American Coot"
"beta.barren_land",5.4,4.9,6,"-6.1 - 14","American Coot"
"beta.barren_land_sq",-3.1,7.8,-1,"-20 - 8.4","American Coot"
"beta.cultivated_crop",20,6.7,20,"6.6 - 33","American Coot"
"beta.cultivated_crop_sq",1.5,5.8,1.5,"-10 - 13","American Coot"
"beta.deciduous_forest",-16,8.1,-16,"-32 - -0.26","American Coot"
"beta.deciduous_forest_sq",8.6,7.1,8.9,"-6 - 22","American Coot"
"beta.developed_high_intensity",-10,8,-10,"-26 - 5.7","American Coot"
"beta.developed_high_intensity_sq",5.7,7.5,5.9,"-9.4 - 20","American Coot"
"beta.developed_low_intensity",-15,8,-15,"-31 - 0.72","American Coot"
"beta.developed_low_intensity_sq",9.8,8,10,"-7.1 - 24","American Coot"
"beta.effort_hours",0.21,0.079,0.21,"0.047 - 0.36","American Coot"
"beta.elevation",3,7.3,3,"-11 - 17","American Coot"
"beta.elevation_sq",-2.9,6.2,-2.8,"-15 - 9.1","American Coot"
"beta.emergent_wetland",30,4.1,30,"22 - 38","American Coot"
"beta.emergent_wetland_sq",-11,3.9,-11,"-18 - -3.4","American Coot"
