species,selected_developed_low_intensity,probability_developed_low_intensity,selected_developed_high_intensity,probability_developed_high_intensity,selected_barren_land,probability_barren_land,selected_deciduous_forest,probability_deciduous_forest,selected_evergreen_forest,probability_evergreen_forest,selected_mixed_forest,probability_mixed_forest,selected_shrub_scrub,probability_shrub_scrub,selected_grassland_herbaceous,probability_grassland_herbaceous,selected_pasture_hay,probability_pasture_hay,selected_cultivated_crops,probability_cultivated_crops,selected_woody_wetlands,probability_woody_wetlands,selected_emergent_wetlands,probability_emergent_wetlands,selected_ocean,probability_ocean,selected_lake,probability_lake,selected_river,probability_river,selected_elevation,probability_elevation,selected_aspect,probability_aspect,selected_slope,probability_slope,selected_precipitation,probability_precipitation,selected_temperature_max,probability_temperature_max
Carolina Wren,2,0.1525,1,1,2,0.272033333,2,0.997566667,27,0.104366667,31,0.346633333,2,0.104366667,2,0.068066667,31,0.097366667,31,0.1025,31,0.170866667,28,0.0855,31,0.4067,31,0.521333333,3,0.086133333,31,0.1166,31,0.153333333,18,0.067433333,31,0.115066667,31,0.224366667
Caspian Tern,20,0.068566667,29,0.115866667,1,0.257066667,3,0.0644,9,0.073733333,9,0.075166667,2,0.074866667,19,0.042433333,11,0.152966667,23,0.042566667,4,0.116733333,2,0.3562,2,0.392333333,2,0.4506,4,0.109,1,0.055433333,3,0.525,2,0.320366667,3,0.039333333,31,0.043933333
Cassin's Finch,3,0.078566667,21,0.059166667,21,0.042433333,13,0.0806,8,0.1555,31,0.192333333,1,0.0657,1,0.061866667,11,0.0543,13,0.059033333,20,0.052633333,6,0.086466667,30,0.0361,1,0.187466667,16,0.049066667,11,0.048666667,31,0.0614,4,0.231833333,7,0.054266667,1,0.062666667
Cassin's Kingbird,16,0.0433,28,0.058266667,22,0.0573,31,0.071033333,14,0.0692,9,0.0526,30,0.084966667,30,0.082966667,25,0.055366667,30,0.050966667,16,0.092533333,12,0.189533333,3,0.0828,2,0.081133333,30,0.05,1,0.037733333,31,0.0679,5,0.0784,20,0.057166667,4,0.0714
Cassin's Sparrow,2,0.351666667,1,0.1349,26,0.163966667,3,0.059766667,2,0.123333333,6,0.046466667,2,0.363066667,3,0.089866667,22,0.043733333,3,0.088833333,3,0.057966667,4,0.256366667,1,0.042033333,1,0.1479,21,0.0413,3,0.042266667,22,0.046733333,2,0.279833333,31,0.037233333,2,0.047133333
Cassin's Vireo,2,0.159966667,8,0.037533333,4,0.053466667,2,0.1397,2,0.688933333,24,0.043033333,22,0.066633333,2,0.0536,15,0.049933333,3,0.073233333,19,0.0512,24,0.044133333,26,0.043966667,9,0.066666667,31,0.065366667,2,0.072266667,31,0.053666667,8,0.089966667,13,0.037766667,4,0.0437
Cedar Waxwing,31,0.129433333,4,0.083933333,2,0.1282,25,0.058033333,1,0.614933333,2,0.2965,1,0.079233333,31,0.071666667,1,0.097433333,4,0.369533333,2,0.5112,1,0.093566667,23,0.069066667,3,0.386966667,2,0.140333333,1,0.702466667,6,0.122766667,1,0.376566667,31,0.1052,29,0.069466667
Chestnut-backed Chickadee,2,0.194566667,1,0.8624,2,0.3562,4,0.1211,1,0.988833333,1,0.2115,28,0.069566667,31,0.066333333,18,0.0732,12,0.050366667,8,0.072333333,2,0.0576,1,0.179333333,1,0.072866667,3,0.104333333,31,0.116566667,4,0.216466667,1,0.221733333,27,0.047833333,13,0.042833333
Chestnut-collared Longspur,2,0.0783,3,0.0438,28,0.043933333,22,0.042333333,31,0.067833333,13,0.040733333,3,0.053833333,2,0.813033333,31,0.095466667,26,0.096666667,3,0.0629,2,0.0944,8,0.042333333,19,0.060533333,19,0.0391,31,0.037233333,19,0.071266667,2,0.048433333,3,0.036133333,18,0.038
Chestnut-sided Warbler,4,0.2492,20,0.069866667,31,0.356133333,2,0.947966667,31,0.2031,30,0.108466667,11,0.306566667,30,0.0713,31,0.147666667,3,0.2505,31,0.1937,7,0.111366667,19,0.0654,2,0.598233333,23,0.117433333,3,0.110833333,4,0.220166667,2,0.335566667,26,0.039266667,1,0.8299
Chihuahuan Meadowlark,16,0.0632,16,0.0549,6,0.0516,31,0.195033333,31,0.235666667,31,0.052033333,14,0.0658,2,0.286766667,22,0.040366667,6,0.055933333,22,0.1021,31,0.085633333,6,0.034166667,6,0.279233333,4,0.062533333,21,0.0478,31,0.049433333,2,0.3455,20,0.037733333,14,0.037866667
Chimney Swift,2,0.999966667,2,0.6838,19,0.065766667,1,0.2687,1,0.297833333,31,0.0762,9,0.0619,2,0.716633333,2,0.081733333,31,0.065933333,1,0.1173,30,0.0772,3,0.099566667,5,0.069166667,1,0.754966667,1,0.1152,23,0.042933333,31,0.1257,16,0.0377,1,0.2764
Chipping Sparrow,1,1,5,0.175566667,18,0.067166667,2,0.9346,2,0.976166667,2,0.6796,1,0.102566667,2,0.0873,1,0.2702,31,0.233566667,16,0.143266667,2,0.817333333,9,0.077033333,1,0.064033333,15,0.069966667,6,0.043666667,5,0.094266667,1,0.566066667,1,0.444733333,1,0.388933333
Cinnamon Teal,2,0.1611,1,0.0637,3,0.0744,26,0.087333333,2,0.298133333,15,0.043366667,2,0.145366667,1,0.104666667,11,0.0478,31,0.0505,5,0.055833333,2,0.448,18,0.0366,1,0.8878,31,0.056933333,30,0.044166667,2,0.2405,6,0.0611,23,0.035133333,6,0.049433333
Clark's Grebe,1,0.0447,21,0.036733333,25,0.047933333,12,0.043,3,0.0491,25,0.041866667,5,0.0394,30,0.0592,6,0.052566667,27,0.0474,2,0.120466667,5,0.0939,6,0.1451,2,0.9923,27,0.060766667,23,0.037766667,2,0.094566667,2,0.057666667,28,0.037733333,29,0.0362
Clark's Nutcracker,2,0.1578,18,0.050866667,11,0.098366667,31,0.0468,4,0.077166667,28,0.0602,1,0.497566667,1,0.116333333,3,0.044833333,5,0.037033333,12,0.056333333,5,0.04,20,0.0353,15,0.0407,22,0.0534,1,0.278333333,2,0.076,2,0.1145,16,0.034,1,0.433066667
Cliff Swallow,2,0.853333333,1,0.7958,1,0.518833333,1,0.993366667,1,0.996766667,2,0.3178,2,0.248033333,3,0.0954,2,0.124166667,2,0.739866667,24,0.078266667,2,0.993166667,12,0.050133333,2,0.918,2,0.306666667,1,0.0731,2,0.101733333,1,0.081033333,1,0.079266667,1,0.0503
Common Gallinule,2,0.054233333,1,0.058,29,0.047166667,25,0.0476,31,0.061066667,3,0.045633333,31,0.0416,17,0.0424,5,0.065266667,31,0.0509,2,0.1206,1,0.9939,2,0.085566667,1,0.326266667,27,0.069733333,31,0.042666667,13,0.082533333,31,0.036633333,31,0.064566667,7,0.033733333
Common Grackle,1,0.716966667,12,0.107966667,31,0.084133333,2,0.766666667,2,0.953466667,2,0.734266667,3,0.377966667,2,0.654333333,1,0.6226,5,0.255133333,2,0.129233333,13,0.1392,31,0.061966667,3,0.037133333,30,0.218833333,1,0.445333333,2,0.0774,1,0.961066667,29,0.040833333,31,0.194366667
Common Ground Dove,9,0.064766667,10,0.061566667,5,0.0538,31,0.047133333,6,0.0465,25,0.0511,2,0.087666667,24,0.041366667,6,0.0598,9,0.054833333,3,0.198,13,0.045633333,1,0.045633333,31,0.061533333,31,0.0715,6,0.037433333,2,0.0706,17,0.0404,29,0.037466667,5,0.052633333
Common Loon,2,0.1586,31,0.058133333,5,0.086833333,5,0.153266667,6,0.047666667,26,0.1227,2,0.0621,20,0.047533333,3,0.0854,4,0.068666667,12,0.0887,31,0.243066667,2,0.941966667,2,1,4,0.052333333,30,0.037666667,2,0.271233333,7,0.0563,13,0.038033333,31,0.0453
Common Merganser,24,0.043133333,31,0.047033333,30,0.057166667,8,0.055533333,3,0.095633333,11,0.0747,1,0.0986,30,0.044466667,16,0.048733333,1,0.053633333,5,0.048933333,1,0.139166667,2,0.0701,2,0.999033333,1,0.8916,29,0.045933333,1,0.290033333,6,0.073133333,31,0.049233333,30,0.086433333
Common Raven,4,0.413866667,3,0.167333333,1,0.235533333,6,0.0432,31,0.083566667,29,0.058633333,21,0.055433333,11,0.065366667,31,0.134033333,7,0.061133333,31,0.2736,31,0.1646,6,0.1302,8,0.154,18,0.063566667,30,0.060233333,17,0.103933333,4,0.0763,1,0.116266667,31,0.049433333
Common Tern,1,0.185033333,1,0.3119,27,0.058433333,6,0.057833333,31,0.045633333,1,0.079133333,26,0.0504,2,0.055266667,28,0.069133333,11,0.036466667,3,0.105633333,2,0.044366667,2,0.571733333,2,0.116933333,4,0.237666667,1,0.037066667,2,0.558366667,2,0.3988,1,0.035766667,31,0.054033333
Common Yellowthroat,2,1,1,0.977233333,1,0.062866667,7,0.1998,1,0.981433333,29,0.063,2,0.840266667,31,0.113666667,2,0.984866667,31,0.2402,1,1,2,1,2,0.0672,2,0.6055,30,0.080233333,1,0.7697,3,0.1735,21,0.1008,31,0.080833333,31,0.1744
Costa's Hummingbird,1,0.056733333,1,0.1151,28,0.087233333,16,0.090733333,2,0.087166667,8,0.044533333,3,0.114433333,5,0.0432,3,0.065733333,2,0.048033333,7,0.139933333,2,0.0557,23,0.037366667,3,0.057666667,1,0.048666667,2,0.065966667,22,0.0522,7,0.055233333,31,0.035833333,1,0.041566667
Crested Caracara,23,0.042866667,1,0.0512,5,0.043066667,29,0.050366667,2,0.146266667,1,0.0525,31,0.1591,6,0.05,30,0.0499,7,0.038933333,1,0.079166667,1,0.080366667,1,0.154366667,31,0.099666667,5,0.2638,30,0.035966667,10,0.047366667,16,0.0531,18,0.033933333,1,0.037466667
Curve-billed Thrasher,1,0.223633333,25,0.169633333,19,0.077366667,2,0.075866667,3,0.1207,3,0.081366667,1,0.440966667,18,0.050366667,3,0.042566667,14,0.091333333,4,0.1803,2,0.437833333,12,0.063133333,4,0.101266667,2,0.0648,3,0.0496,20,0.183933333,6,0.086566667,2,0.055766667,3,0.0778
Dark-eyed Junco,3,0.0796,31,0.188266667,3,0.058733333,14,0.104833333,2,0.997966667,4,0.0746,17,0.126,30,0.080033333,1,0.1698,3,0.2455,2,0.857733333,2,0.1641,30,0.347833333,16,0.045833333,31,0.136633333,1,0.605233333,13,0.145733333,31,0.2488,2,0.085733333,1,0.977466667
Dickcissel,2,0.958733333,31,0.1631,12,0.068233333,1,0.364666667,3,0.151666667,31,0.2389,2,0.189433333,2,0.989366667,2,0.999533333,2,0.999833333,30,0.0514,31,0.089933333,23,0.0624,31,0.052333333,11,0.0822,1,0.040066667,25,0.0481,2,0.358133333,9,0.039733333,31,0.047966667
Double-crested Cormorant,1,0.720733333,31,0.070133333,5,0.141866667,5,0.115766667,2,0.131266667,1,0.3062,17,0.0471,12,0.047133333,17,0.0652,1,0.2108,30,0.0641,2,0.889866667,2,0.998333333,2,0.996033333,2,0.9431,1,0.161033333,2,0.355566667,1,0.994466667,10,0.036433333,31,0.155566667
Downy Woodpecker,4,0.421633333,1,1,1,0.294466667,1,0.9997,31,0.161433333,1,0.341533333,31,0.148633333,2,0.116166667,4,0.4652,1,0.5451,27,0.1016,1,0.182733333,3,0.262766667,6,0.0849,2,0.561166667,2,0.050733333,5,0.131933333,7,0.1653,31,0.0831,1,0.3354
Dusky Flycatcher,2,0.206833333,25,0.0608,2,0.049533333,22,0.0582,18,0.106566667,26,0.0555,1,0.107766667,22,0.045533333,2,0.1059,6,0.1049,22,0.051733333,7,0.065366667,29,0.043866667,2,0.0997,31,0.047866667,31,0.051366667,15,0.114933333,30,0.0639,20,0.045566667,1,0.153733333
Eared Grebe,2,0.064566667,28,0.041833333,9,0.0542,18,0.041766667,2,0.053133333,31,0.0409,24,0.048233333,1,0.0946,8,0.054066667,2,0.063,22,0.047833333,2,0.1047,29,0.038033333,1,0.9899,5,0.0393,2,0.043033333,19,0.0416,27,0.054533333,11,0.034233333,27,0.034466667
Eastern Bluebird,7,0.075866667,2,0.985933333,6,0.1272,3,0.107766667,4,0.483466667,4,0.049966667,31,0.0604,28,0.0716,1,0.968,5,0.164333333,1,0.8014,1,0.265733333,3,0.098966667,31,0.075266667,1,0.163266667,1,0.090266667,6,0.103233333,2,0.6828,26,0.044366667,31,0.088966667
Eastern Kingbird,2,0.9992,4,0.192766667,17,0.061033333,1,0.9866,1,0.800666667,1,1,2,0.1448,2,0.936633333,2,0.9518,1,0.2706,2,0.422966667,2,0.7716,17,0.1833,1,0.999966667,31,0.124933333,1,0.879866667,1,0.3959,1,0.1821,31,0.0565,1,0.392966667
Eastern Meadowlark,2,0.9858,29,0.072033333,15,0.128433333,1,1,1,0.4572,1,0.995033333,3,0.125733333,2,0.941133333,2,1,2,0.9985,1,0.9801,31,0.161566667,11,0.061433333,2,0.347066667,13,0.063266667,1,0.074766667,10,0.090066667,31,0.235033333,1,0.039,31,0.074766667
Eastern Towhee,2,0.978233333,1,0.968133333,2,0.2162,2,0.914566667,27,0.089333333,31,0.3072,3,0.793266667,5,0.045366667,31,0.281466667,2,0.969866667,21,0.0802,1,0.061633333,4,0.274633333,2,0.666066667,1,0.2119,1,0.254633333,28,0.1101,31,0.254366667,31,0.3656,31,0.134833333
Eastern Wood-Pewee,2,0.999566667,2,0.9617,31,0.409766667,1,1,1,0.930466667,1,0.990166667,3,0.0523,31,0.059633333,31,0.124866667,31,0.118266667,1,0.919966667,31,0.244133333,24,0.056833333,31,0.062466667,31,0.078466667,15,0.060433333,14,0.0695,1,0.220966667,31,0.0522,12,0.125633333
Eurasian Collared-Dove,2,1,18,0.1333,2,0.0699,2,0.9831,2,0.740833333,28,0.1276,31,0.101833333,11,0.114566667,2,0.7668,5,0.550266667,31,0.181066667,31,0.280866667,9,0.0806,25,0.090033333,1,0.393266667,31,0.1718,22,0.085533333,2,0.685633333,2,0.083933333,1,0.191
European Starling,2,0.9964,2,1,12,0.058533333,1,1,2,0.999833333,1,1,2,0.180066667,31,0.0972,2,0.999166667,2,1,1,0.999966667,31,0.330433333,26,0.091,5,0.086933333,2,0.4608,1,0.206366667,25,0.085033333,1,1,1,0.045833333,31,0.361066667
Evening Grosbeak,2,0.061033333,8,0.074333333,31,0.2402,1,0.0591,9,0.083033333,2,0.0606,2,0.0562,10,0.057166667,16,0.0864,5,0.049033333,19,0.0534,30,0.062466667,2,0.048633333,13,0.0388,11,0.0507,14,0.0465,2,0.8639,29,0.051066667,5,0.044,27,0.0779
Field Sparrow,2,0.9829,2,0.1051,1,0.045333333,2,0.813633333,31,0.086333333,3,0.596,2,0.998633333,1,0.994833333,1,0.7948,5,0.0703,31,0.074366667,15,0.164833333,3,0.074866667,2,0.351933333,4,0.1821,31,0.075066667,2,0.059966667,31,0.0937,6,0.0522,27,0.067
Fish Crow,2,0.395533333,2,0.512666667,2,0.150833333,2,0.130966667,8,0.0584,31,0.066266667,1,0.144566667,2,0.1213,2,0.061533333,7,0.076266667,5,0.064033333,18,0.062066667,12,0.0726,10,0.158666667,28,0.090933333,1,0.4731,3,0.2053,2,0.1079,10,0.035633333,31,0.062333333
Forster's Tern,8,0.138633333,10,0.038066667,1,0.0973,5,0.0472,5,0.058033333,7,0.052733333,31,0.040533333,2,0.047266667,4,0.052133333,2,0.055666667,30,0.045566667,2,0.5221,3,0.281966667,1,0.311866667,9,0.0407,18,0.034866667,2,0.520433333,2,0.196466667,18,0.0344,15,0.0387
Fox Sparrow,3,0.060733333,25,0.0427,12,0.0913,3,0.041766667,3,0.282266667,10,0.048866667,27,0.0633,2,0.052066667,24,0.064666667,5,0.045333333,1,0.069566667,31,0.042333333,26,0.038066667,25,0.059766667,9,0.0495,1,0.067333333,12,0.0585,2,0.121,28,0.059566667,1,0.160033333
Franklin's Gull,2,0.144266667,31,0.046566667,1,0.098033333,1,0.823033333,12,0.053633333,10,0.052066667,1,0.053133333,31,0.0375,11,0.088666667,1,0.133966667,1,0.048,8,0.105066667,1,0.061266667,5,0.0631,31,0.035866667,29,0.0398,8,0.073366667,1,0.042133333,30,0.0356,2,0.041133333
Gadwall,17,0.065366667,31,0.055266667,21,0.050666667,25,0.051733333,2,0.228133333,5,0.102566667,17,0.0611,2,0.355633333,4,0.094366667,2,0.2874,31,0.056666667,2,0.783833333,30,0.0381,1,0.995633333,1,0.039766667,15,0.044666667,3,0.061666667,2,0.206066667,31,0.046733333,9,0.053033333
Gambel's Quail,2,0.318666667,2,0.367666667,31,0.1249,13,0.058033333,12,0.080966667,12,0.0641,1,0.1398,14,0.052666667,1,0.079366667,17,0.080733333,19,0.150033333,31,0.1753,16,0.139166667,1,0.131633333,10,0.088566667,2,0.069566667,21,0.048533333,3,0.149366667,2,0.0586,29,0.083866667
Gila Woodpecker,6,0.101233333,1,0.765333333,24,0.1044,30,0.094333333,2,0.042366667,31,0.069466667,2,0.0525,27,0.076333333,5,0.130066667,29,0.075566667,26,0.110133333,14,0.075933333,13,0.035033333,21,0.055466667,31,0.0534,3,0.048566667,28,0.0999,3,0.125666667,1,0.036266667,21,0.0602
Glossy Ibis,26,0.049133333,4,0.047033333,13,0.052466667,2,0.0548,1,0.060733333,31,0.040633333,30,0.052966667,31,0.0438,2,0.121866667,2,0.044833333,6,0.044066667,2,0.6963,1,0.056366667,1,0.112766667,13,0.049133333,1,0.064566667,1,0.1985,22,0.037466667,30,0.0439,3,0.035633333
Golden-crowned Kinglet,22,0.065333333,1,0.088733333,1,0.1344,1,0.079833333,2,0.9941,30,0.064366667,2,0.056233333,1,0.312066667,11,0.120366667,2,0.048866667,2,0.780066667,17,0.0478,19,0.076133333,5,0.125666667,1,0.045766667,31,0.070133333,1,0.1165,18,0.0472,31,0.061833333,1,0.686233333
Golden-fronted Woodpecker,4,0.1914,1,0.0768,26,0.075466667,31,0.092,31,0.062966667,1,0.165866667,7,0.043066667,27,0.082366667,31,0.0433,6,0.068366667,26,0.084333333,5,0.0579,2,0.076333333,15,0.162666667,9,0.086333333,28,0.043166667,26,0.048866667,2,0.194633333,31,0.049766667,1,0.047433333
Golden-winged Warbler,2,0.134533333,9,0.0445,31,0.074266667,4,0.157166667,18,0.038866667,1,0.115166667,12,0.115566667,8,0.054466667,31,0.092066667,3,0.1412,2,0.2589,31,0.153766667,12,0.0887,2,0.080566667,31,0.057366667,21,0.051133333,2,0.158466667,2,0.095266667,13,0.0376,3,0.099666667
Golden Eagle,30,0.045166667,31,0.0472,2,0.049333333,14,0.1267,15,0.042733333,31,0.035066667,2,0.157533333,1,0.0585,24,0.0441,5,0.038333333,10,0.04,2,0.045166667,15,0.035866667,31,0.039133333,23,0.035433333,31,0.040566667,5,0.0361,2,0.0511,1,0.035333333,26,0.040866667
Grace's Warbler,17,0.0654,5,0.0447,27,0.133266667,16,0.054333333,1,0.637166667,20,0.0556,1,0.125833333,1,0.270666667,30,0.0857,12,0.0384,1,0.045133333,1,0.048666667,16,0.033733333,15,0.0606,1,0.0449,1,0.066133333,18,0.0554,20,0.061666667,16,0.037866667,2,0.048266667
Grasshopper Sparrow,2,0.389266667,1,0.1548,12,0.0457,1,0.939533333,1,0.135266667,1,0.116666667,3,0.2485,2,0.9997,2,0.966466667,3,0.250433333,2,0.154966667,23,0.059666667,30,0.061433333,2,0.208333333,27,0.057166667,31,0.0588,2,0.128,31,0.056766667,1,0.04,22,0.0476
Gray Catbird,31,0.134766667,1,0.999966667,31,0.192033333,3,0.1041,1,0.2818,13,0.070666667,1,0.454466667,24,0.056266667,28,0.124766667,2,0.858866667,31,0.304,31,0.162366667,31,0.110233333,10,0.141166667,31,0.3184,1,0.9824,12,0.080466667,2,0.161133333,31,0.0878,16,0.095966667
Gray Flycatcher,1,0.195566667,23,0.043866667,3,0.1408,2,0.038633333,7,0.058566667,12,0.039033333,2,0.1212,2,0.0656,20,0.0597,6,0.0583,31,0.06,1,0.049466667,1,0.048666667,2,0.080766667,31,0.077033333,15,0.063533333,13,0.048,31,0.062533333,16,0.035,1,0.1841
Great-tailed Grackle,3,0.117066667,1,0.999533333,1,0.174633333,4,0.2026,3,0.358833333,8,0.050733333,2,0.848666667,20,0.087466667,20,0.085933333,31,0.073833333,24,0.046966667,19,0.097566667,31,0.1823,1,0.160966667,31,0.108966667,6,0.055233333,19,0.064666667,31,0.159433333,31,0.094233333,10,0.080233333
Great Blue Heron,1,0.9962,1,0.775566667,2,0.114866667,1,0.910033333,2,0.4745,1,0.940466667,2,0.219833333,8,0.048233333,21,0.102066667,4,0.1534,2,0.899866667,1,1,3,0.437,2,0.9981,2,0.879333333,1,0.9442,2,0.4727,1,0.997066667,1,0.041833333,1,0.1492
Great Crested Flycatcher,31,0.1301,1,0.989933333,3,0.161866667,1,1,3,0.411533333,31,0.084033333,2,0.093,31,0.115133333,31,0.043166667,3,0.3318,18,0.0823,27,0.133366667,3,0.222833333,5,0.198333333,6,0.119033333,15,0.058533333,28,0.091533333,1,0.838033333,31,0.0422,10,0.0704
Great Egret,2,0.9045,15,0.078466667,4,0.104666667,3,0.5111,2,0.5807,2,0.579866667,3,0.094833333,23,0.0437,2,0.440833333,31,0.1495,2,0.1163,1,0.970966667,2,0.48,2,0.967333333,4,0.165033333,1,0.647033333,1,0.883766667,2,0.4719,30,0.035933333,28,0.067666667
Greater Roadrunner,7,0.056766667,3,0.293933333,31,0.090733333,15,0.044333333,6,0.079533333,21,0.037866667,7,0.064166667,25,0.039,4,0.051666667,7,0.099,30,0.039933333,30,0.0553,28,0.0359,13,0.0788,19,0.068866667,29,0.0356,31,0.074566667,2,0.056466667,30,0.0372,2,0.047566667
Greater Yellowlegs,1,0.236266667,29,0.0436,2,0.225866667,30,0.058533333,8,0.063933333,9,0.043933333,31,0.043666667,28,0.040433333,3,0.043366667,15,0.1072,15,0.050333333,2,0.8305,29,0.057366667,3,0.4746,30,0.0478,28,0.0431,9,0.050366667,2,0.152,3,0.0342,1,0.037533333
Green-tailed Towhee,7,0.1436,9,0.052866667,2,0.0897,8,0.0655,13,0.1015,21,0.047366667,1,0.951366667,18,0.067966667,3,0.086333333,5,0.0844,24,0.066833333,7,0.128233333,31,0.0343,31,0.083933333,20,0.099533333,2,0.182366667,10,0.0445,5,0.1078,15,0.042433333,2,0.230866667
Green-winged Teal,2,0.055233333,2,0.046966667,13,0.037066667,18,0.039366667,20,0.039633333,6,0.040166667,5,0.0398,10,0.068933333,17,0.047633333,19,0.0412,7,0.042533333,1,0.0876,30,0.035733333,1,0.048233333,21,0.036566667,11,0.036666667,29,0.046566667,2,0.045233333,27,0.037266667,15,0.037466667
Green Heron,2,0.492633333,6,0.0436,3,0.103,31,0.121866667,3,0.1362,2,0.175433333,20,0.044033333,31,0.0771,1,0.133533333,22,0.060266667,1,0.5493,1,1,2,0.222033333,2,0.193733333,1,0.498033333,1,0.497666667,3,0.2507,2,0.146366667,11,0.0346,1,0.203633333
Hairy Woodpecker,6,0.049533333,2,0.862633333,2,0.098433333,1,1,1,0.999233333,1,0.997966667,3,0.200866667,15,0.055933333,1,0.071666667,2,0.206033333,1,0.277233333,31,0.0968,31,0.0468,28,0.0636,2,0.07,2,0.2341,3,0.097133333,1,0.228933333,1,0.158666667,5,0.087166667
Hammond's Flycatcher,5,0.057266667,31,0.043833333,4,0.082133333,31,0.0576,2,0.311066667,29,0.045933333,3,0.0534,1,0.076966667,6,0.055833333,6,0.049933333,1,0.084966667,31,0.074266667,6,0.0383,6,0.065266667,26,0.0541,31,0.049233333,4,0.0462,1,0.065366667,28,0.0413,3,0.075866667
Henslow's Sparrow,7,0.080533333,12,0.038166667,3,0.041533333,4,0.0461,31,0.039066667,31,0.041566667,31,0.048866667,2,0.073966667,2,0.813366667,31,0.113566667,21,0.040933333,3,0.044233333,11,0.035066667,2,0.050466667,7,0.0436,31,0.043333333,6,0.059166667,31,0.0397,18,0.037533333,26,0.042833333
Hermit Thrush,2,0.721166667,31,0.541266667,14,0.1002,2,0.119766667,2,0.994266667,1,0.1821,5,0.069933333,20,0.056433333,12,0.142033333,3,0.340433333,31,0.091066667,3,0.2942,10,0.045433333,2,0.253166667,2,0.050033333,31,0.0544,8,0.1146,22,0.1005,1,0.673133333,1,0.665933333
Hermit Warbler,1,0.1046,2,0.043566667,31,0.111266667,12,0.088566667,2,0.7436,6,0.1901,2,0.202633333,10,0.0409,8,0.0553,17,0.062933333,31,0.185566667,1,0.173566667,11,0.058266667,31,0.124933333,12,0.170866667,1,0.4256,2,0.058166667,26,0.049266667,1,0.064066667,1,0.086466667
Herring Gull,1,0.3328,2,0.4918,5,0.0774,5,0.156166667,2,0.040733333,1,0.241466667,29,0.0437,30,0.040366667,2,0.048933333,2,0.468666667,11,0.044566667,6,0.1109,2,0.997033333,2,0.962933333,11,0.085466667,1,0.080266667,9,0.178,2,0.184133333,2,0.0429,8,0.0415
Hooded Merganser,30,0.044066667,31,0.046,15,0.0373,1,0.0405,21,0.045966667,2,0.047866667,1,0.0447,4,0.036866667,2,0.1642,12,0.040966667,1,0.063466667,1,0.2073,1,0.069966667,1,0.109133333,1,0.1773,9,0.0349,3,0.0592,2,0.038433333,31,0.035233333,1,0.0375
Hooded Oriole,12,0.065366667,31,0.050966667,2,0.091833333,30,0.059233333,1,0.5222,8,0.086533333,31,0.092733333,13,0.0459,1,0.088566667,1,0.2504,1,0.1272,8,0.1222,15,0.180233333,3,0.063233333,1,0.0873,1,0.152666667,20,0.069633333,4,0.1286,1,0.0432,31,0.105533333
Hooded Warbler,2,0.1742,10,0.047033333,23,0.127633333,2,0.8149,1,0.7955,2,0.2764,3,0.0692,31,0.053233333,2,0.650533333,2,0.198766667,20,0.058266667,2,0.140566667,30,0.058866667,2,0.154633333,24,0.049633333,1,0.2263,1,0.052933333,2,0.217666667,31,0.036266667,9,0.0455
Horned Lark,2,0.934166667,16,0.078633333,2,0.040033333,2,0.934566667,3,0.1065,2,0.406866667,2,0.450833333,2,0.999433333,31,0.088,1,1,2,0.9808,1,0.499833333,2,0.126866667,2,0.213966667,3,0.1732,1,0.3077,1,0.068433333,22,0.064466667,15,0.035466667,1,0.0688
House Finch,2,1,1,0.5671,18,0.089066667,1,0.475533333,1,0.960766667,10,0.0999,1,0.353766667,19,0.0799,2,0.6582,5,0.076733333,1,0.971366667,1,1,5,0.412366667,1,0.860766667,21,0.105133333,2,0.040866667,31,0.269933333,7,0.211433333,31,0.099466667,5,0.1065
House Sparrow,2,1,2,0.999266667,5,0.094033333,1,1,28,0.1559,2,0.782833333,24,0.052233333,1,0.873866667,4,0.235566667,2,0.757233333,1,1,31,0.4049,5,0.376566667,1,0.194633333,30,0.1756,3,0.131766667,25,0.090633333,1,0.998433333,31,0.0558,31,0.158366667
House Wren,2,0.622233333,1,1,29,0.088633333,2,0.996766667,31,0.2563,18,0.078633333,2,0.119166667,2,0.5516,2,0.428166667,31,0.5492,31,0.370033333,1,0.411166667,2,0.267866667,1,0.4751,31,0.3598,5,0.122066667,18,0.074866667,13,0.141633333,1,0.084533333,1,0.457733333
Hutton's Vireo,1,0.157666667,2,0.0523,5,0.1105,5,0.051133333,2,0.097433333,9,0.164866667,23,0.0409,2,0.077033333,1,0.0824,5,0.038766667,15,0.055933333,8,0.085366667,4,0.054266667,1,0.087,14,0.0555,17,0.043933333,19,0.0544,2,0.324133333,1,0.047,5,0.049666667
Inca Dove,21,0.073866667,10,0.118266667,5,0.047,31,0.065366667,2,0.0683,31,0.0573,12,0.061233333,12,0.040166667,20,0.055133333,5,0.065133333,31,0.0713,1,0.0594,4,0.203,5,0.059066667,2,0.1469,3,0.040666667,10,0.066,2,0.0917,29,0.034266667,1,0.049633333
Indigo Bunting,2,1,31,0.167466667,31,0.098333333,2,0.376366667,31,0.084133333,20,0.0651,2,0.978233333,26,0.091966667,2,0.629266667,7,0.494633333,31,0.095233333,1,0.226933333,12,0.283,31,0.284433333,29,0.091233333,25,0.037933333,2,0.962666667,19,0.102733333,31,0.118466667,25,0.0753
