species,selected_developed_low_intensity,probability_developed_low_intensity,selected_developed_high_intensity,probability_developed_high_intensity,selected_barren_land,probability_barren_land,selected_deciduous_forest,probability_deciduous_forest,selected_evergreen_forest,probability_evergreen_forest,selected_mixed_forest,probability_mixed_forest,selected_shrub_scrub,probability_shrub_scrub,selected_grassland_herbaceous,probability_grassland_herbaceous,selected_pasture_hay,probability_pasture_hay,selected_cultivated_crops,probability_cultivated_crops,selected_woody_wetlands,probability_woody_wetlands,selected_emergent_wetlands,probability_emergent_wetlands,selected_ocean,probability_ocean,selected_lake,probability_lake,selected_river,probability_river,selected_elevation,probability_elevation,selected_aspect,probability_aspect,selected_slope,probability_slope,selected_precipitation,probability_precipitation,selected_temperature_max,probability_temperature_max
Black-capped Chickadee,2,0.9971,1,0.9258,1,0.9898,1,0.673466667,3,0.366333333,2,0.844866667,6,0.094733333,2,0.218366667,5,0.080433333,2,0.633966667,3,0.170966667,31,0.228133333,31,0.131,19,0.076933333,1,0.156533333,1,0.400133333,31,0.1791,1,0.2503,1,0.089033333,1,0.097266667
Black-chinned Hummingbird,2,0.242833333,1,0.4689,29,0.0437,2,0.1388,2,0.863366667,30,0.1256,31,0.133266667,31,0.0995,10,0.133866667,31,0.0639,2,0.1365,28,0.061266667,3,0.213233333,1,0.6773,30,0.1232,1,0.442666667,4,0.0537,2,0.2985,30,0.0595,1,0.2463
Black-crested Titmouse,28,0.041633333,1,0.179433333,10,0.078533333,7,0.084566667,2,0.077533333,2,0.1642,10,0.0661,31,0.084733333,2,0.044366667,1,0.1499,31,0.068033333,15,0.0522,22,0.049666667,2,0.239666667,1,0.060133333,15,0.035333333,20,0.1308,1,0.432,31,0.060633333,1,0.064133333
Black-crowned Night Heron,7,0.0923,7,0.039833333,20,0.0442,5,0.055766667,7,0.060433333,31,0.0408,6,0.071933333,1,0.059933333,30,0.043133333,29,0.0374,12,0.1083,2,0.893866667,2,0.1262,2,0.176333333,27,0.040933333,12,0.038066667,3,0.131566667,2,0.180666667,1,0.035266667,3,0.038033333
Black-headed Grosbeak,3,0.427166667,1,0.883433333,3,0.1219,2,0.1032,3,0.4763,5,0.229966667,3,0.118266667,28,0.074066667,17,0.118933333,31,0.055566667,2,0.507833333,2,0.099833333,1,0.0663,14,0.099766667,20,0.114566667,27,0.071966667,1,0.470566667,2,0.441366667,11,0.036966667,5,0.1208
Black-necked Stilt,2,0.6219,1,0.079033333,31,0.059366667,2,0.063766667,2,0.069266667,3,0.0609,2,0.040766667,13,0.0491,5,0.046233333,2,0.467933333,1,0.128166667,2,0.958733333,28,0.070333333,3,0.549666667,15,0.110933333,31,0.039266667,2,0.060466667,4,0.147566667,11,0.036733333,30,0.040433333
Black-tailed Gnatcatcher,24,0.064866667,4,0.064666667,2,0.088133333,23,0.039766667,10,0.042533333,30,0.040966667,2,0.303766667,14,0.044566667,1,0.138166667,1,0.129566667,22,0.071733333,3,0.135666667,15,0.036433333,2,0.114366667,1,0.073133333,4,0.04,31,0.115566667,5,0.074066667,29,0.0361,31,0.086433333
Black-throated Blue Warbler,2,0.480466667,30,0.046766667,18,0.081633333,2,0.4522,31,0.102833333,2,0.700733333,1,0.289666667,24,0.056066667,1,0.1714,4,0.0529,5,0.0435,2,0.0533,20,0.041266667,5,0.1555,20,0.047866667,19,0.038433333,2,0.158433333,5,0.0578,19,0.043733333,1,0.276833333
Black-throated Gray Warbler,3,0.1395,6,0.088666667,12,0.0463,2,0.081866667,2,0.234366667,1,0.1403,31,0.058233333,11,0.086566667,1,0.055466667,11,0.040533333,31,0.136333333,29,0.0465,20,0.0632,22,0.0428,17,0.045,14,0.0418,4,0.064266667,6,0.1773,26,0.037733333,1,0.103266667
Black-throated Green Warbler,3,0.483433333,31,0.1113,11,0.080833333,1,0.549366667,2,0.376166667,2,0.8974,2,0.084533333,23,0.064966667,2,0.551366667,2,0.164866667,14,0.0719,1,0.0979,31,0.1458,24,0.0654,25,0.060133333,31,0.093,24,0.0442,2,0.065933333,29,0.0419,1,0.1817
Black-throated Sparrow,2,0.077033333,1,0.0957,3,0.084333333,18,0.041933333,3,0.070866667,4,0.042066667,2,0.436933333,18,0.051433333,11,0.0397,20,0.0471,22,0.068966667,1,0.2154,4,0.048333333,30,0.043233333,30,0.048733333,12,0.056066667,1,0.0899,8,0.092066667,1,0.048166667,8,0.065466667
Black Phoebe,23,0.046333333,1,0.132,17,0.0619,31,0.1187,1,0.303733333,31,0.055333333,1,0.8381,18,0.116066667,2,0.0489,12,0.0502,2,0.092366667,13,0.1371,31,0.077,5,0.0838,14,0.067633333,1,0.136533333,31,0.163933333,1,0.124666667,1,0.0469,16,0.0549
Black Skimmer,2,0.057933333,14,0.0573,3,0.113366667,11,0.0442,18,0.0397,12,0.048533333,3,0.0379,1,0.066466667,31,0.047866667,2,0.044466667,13,0.064133333,2,0.210466667,2,0.191133333,22,0.071633333,2,0.055233333,1,0.054,2,0.124066667,13,0.0454,24,0.035466667,30,0.039666667
Black Tern,6,0.0797,5,0.041733333,2,0.110266667,1,0.1196,30,0.0404,9,0.0399,2,0.0415,3,0.132533333,14,0.089066667,7,0.0941,28,0.044233333,2,0.9968,17,0.082166667,4,0.074066667,14,0.065,18,0.0368,2,0.044733333,1,0.045966667,3,0.035466667,3,0.036766667
Black Vulture,31,0.0743,1,0.0593,24,0.089933333,2,0.075433333,1,0.196266667,4,0.0577,31,0.2452,3,0.074233333,4,0.116166667,26,0.0547,2,0.218166667,8,0.090333333,26,0.0409,1,0.953566667,25,0.089833333,1,0.064033333,19,0.068733333,19,0.0385,30,0.044133333,31,0.081266667
Blackburnian Warbler,4,0.1882,12,0.061333333,1,0.1455,2,0.114066667,1,0.998966667,1,0.1826,2,0.095266667,1,0.065933333,2,0.324366667,2,0.088933333,6,0.066766667,1,0.0842,14,0.063,25,0.048366667,12,0.0469,1,0.0486,1,0.103766667,3,0.037833333,1,0.037833333,1,0.207666667
Blue-gray Gnatcatcher,2,0.989333333,3,0.340433333,31,0.092966667,1,0.9636,8,0.2896,31,0.070233333,15,0.045866667,23,0.0579,3,0.163133333,2,0.583633333,2,0.6972,3,0.054666667,31,0.086133333,29,0.064266667,31,0.057366667,29,0.0902,6,0.1683,2,0.410966667,3,0.038,31,0.3222
Blue-headed Vireo,2,0.216966667,31,0.0469,13,0.054533333,3,0.089733333,2,0.688633333,2,0.344766667,11,0.104966667,14,0.0606,2,0.938366667,31,0.0793,4,0.108133333,31,0.0637,2,0.069233333,5,0.0963,31,0.0586,3,0.049366667,3,0.1071,28,0.069633333,31,0.041,1,0.340833333
Blue-winged Teal,2,0.564466667,2,0.090633333,6,0.059866667,5,0.105766667,2,0.062,3,0.085533333,31,0.045766667,2,0.054166667,31,0.065866667,2,0.188666667,10,0.051233333,1,0.9851,31,0.036066667,1,0.3438,2,0.061833333,11,0.039966667,23,0.043033333,9,0.046366667,4,0.035466667,4,0.0395
Blue-winged Warbler,2,0.3907,5,0.057366667,2,0.049966667,2,0.9725,4,0.040766667,2,0.0746,3,0.127833333,31,0.0596,9,0.046433333,4,0.1352,2,0.1673,15,0.1005,2,0.059266667,2,0.0382,31,0.1716,14,0.036933333,23,0.053166667,2,0.102266667,25,0.0363,31,0.055933333
Blue Grosbeak,2,0.9753,26,0.089966667,18,0.046133333,1,0.1211,12,0.118433333,13,0.054833333,3,0.094966667,1,0.937466667,1,0.999633333,1,0.7839,2,0.6385,16,0.078666667,1,0.069666667,31,0.049633333,3,0.054933333,2,0.039733333,28,0.0793,2,0.368566667,30,0.0379,1,0.074833333
Blue Jay,2,0.999933333,1,1,1,0.475333333,2,0.832166667,2,0.963733333,1,0.999933333,7,0.1514,2,0.244333333,10,0.098066667,20,0.078866667,31,0.184633333,1,0.580733333,2,0.401133333,28,0.0887,31,0.0892,1,0.477833333,25,0.088233333,3,0.4565,31,0.041633333,25,0.044066667
Boat-tailed Grackle,1,0.177266667,1,0.6448,6,0.0756,5,0.062733333,1,0.371766667,3,0.084,2,0.053433333,12,0.094,1,0.1501,3,0.065066667,2,0.2254,2,0.678166667,18,0.134,18,0.091033333,30,0.0717,31,0.0633,2,0.669833333,7,0.043966667,26,0.041933333,31,0.060633333
Brewer's Blackbird,2,0.510466667,31,0.1182,9,0.140133333,2,0.140133333,1,0.9628,26,0.0426,2,0.307866667,25,0.1197,2,0.197333333,7,0.1261,18,0.052033333,5,0.176966667,25,0.091033333,11,0.0558,6,0.0533,21,0.053866667,16,0.0545,2,0.4577,1,0.0525,21,0.051733333
Brewer's Sparrow,2,0.337566667,23,0.055133333,13,0.0983,25,0.071133333,15,0.0921,2,0.084833333,3,0.541733333,2,0.211,3,0.085,1,0.063033333,4,0.101066667,2,0.053833333,1,0.0528,30,0.045333333,30,0.052266667,1,0.083466667,1,0.075866667,2,0.342266667,4,0.0405,1,0.121933333
Broad-billed Hummingbird,1,0.167766667,1,0.044633333,3,0.116666667,18,0.0386,13,0.1755,8,0.1905,17,0.146366667,16,0.047433333,10,0.1242,31,0.043666667,23,0.093433333,5,0.055066667,22,0.0342,24,0.0425,11,0.033833333,21,0.050666667,1,0.219166667,29,0.062066667,31,0.042133333,1,0.0413
Broad-tailed Hummingbird,31,0.383833333,31,0.0736,1,0.132266667,31,0.068233333,2,0.695966667,25,0.061533333,11,0.192233333,31,0.1435,20,0.150266667,5,0.115733333,19,0.1371,9,0.091433333,17,0.073033333,31,0.268766667,2,0.107133333,1,0.350933333,20,0.0574,2,0.491533333,10,0.043966667,1,0.2342
Broad-winged Hawk,15,0.047233333,2,0.071633333,21,0.042833333,2,0.619066667,6,0.040466667,2,0.098266667,1,0.039766667,2,0.0717,23,0.041066667,3,0.080333333,4,0.072633333,13,0.047566667,2,0.041233333,14,0.045533333,31,0.0561,3,0.0406,28,0.04,4,0.059666667,19,0.035466667,19,0.037166667
Bronzed Cowbird,30,0.083966667,31,0.052433333,1,0.1557,4,0.050166667,19,0.0689,1,0.086366667,31,0.057966667,17,0.064133333,3,0.060566667,6,0.079766667,31,0.059566667,28,0.078433333,31,0.044633333,31,0.074766667,1,0.274733333,30,0.037933333,18,0.054633333,27,0.0432,1,0.034766667,30,0.0705
Brown-crested Flycatcher,27,0.088266667,29,0.070633333,17,0.049166667,29,0.064366667,1,0.082366667,17,0.0712,3,0.059,1,0.194433333,2,0.427333333,24,0.052233333,2,0.435,21,0.053133333,12,0.056633333,21,0.0625,7,0.121533333,1,0.0527,26,0.133166667,15,0.056166667,20,0.0404,1,0.043333333
Brown-headed Cowbird,2,0.3975,1,0.9999,1,0.617866667,2,0.1735,7,0.137833333,31,0.383433333,4,0.1921,12,0.065233333,4,0.4208,31,0.237333333,31,0.093566667,31,0.122766667,2,0.0727,1,0.363,30,0.133833333,1,0.3465,5,0.090966667,2,0.440966667,21,0.053766667,1,0.060333333
Brown-headed Nuthatch,18,0.067166667,1,0.296033333,19,0.305766667,2,0.106233333,1,0.567066667,5,0.081033333,11,0.048466667,17,0.106433333,29,0.0785,15,0.0591,17,0.090533333,4,0.045666667,9,0.073033333,4,0.0592,20,0.102766667,29,0.040833333,10,0.069366667,2,0.0641,18,0.0352,2,0.050333333
Brown Creeper,1,0.127533333,2,0.116233333,3,0.073233333,28,0.0558,1,0.7559,2,0.1913,11,0.0545,30,0.060666667,1,0.078466667,6,0.0454,1,0.445933333,22,0.044133333,30,0.102233333,3,0.140366667,29,0.0551,1,0.0584,7,0.0894,1,0.056033333,19,0.041166667,1,0.099866667
Brown Pelican,7,0.103,6,0.109666667,2,0.046266667,31,0.128266667,3,0.0478,31,0.0473,3,0.093166667,1,0.0622,11,0.048133333,31,0.0566,12,0.042566667,31,0.060766667,2,0.9928,15,0.0947,3,0.247666667,22,0.052266667,2,0.905666667,7,0.0675,30,0.040433333,1,0.039566667
Brown Thrasher,3,0.360533333,31,0.420866667,31,0.0801,1,0.2971,31,0.092233333,24,0.087066667,2,0.054233333,1,0.172833333,2,0.9082,1,0.9352,1,0.342933333,2,0.103433333,1,0.049333333,31,0.065066667,19,0.1055,1,0.308666667,10,0.0719,30,0.064866667,31,0.132566667,31,0.0544
Bullock's Oriole,2,0.292433333,1,0.256866667,6,0.079433333,2,0.113933333,1,0.6317,1,0.075,12,0.053266667,2,0.451866667,4,0.248566667,13,0.096133333,1,0.246666667,3,0.1935,3,0.4131,4,0.3613,2,0.3395,1,0.061466667,11,0.1087,7,0.063466667,2,0.066,1,0.613333333
Burrowing Owl,4,0.095333333,1,0.053566667,17,0.044233333,22,0.044533333,2,0.043966667,2,0.0378,4,0.060266667,1,0.546266667,26,0.0474,24,0.060366667,5,0.0673,1,0.0415,2,0.0688,20,0.043633333,3,0.052,14,0.038933333,3,0.048266667,10,0.096233333,8,0.034633333,1,0.051733333
Bushtit,4,0.0794,1,0.153366667,13,0.056933333,31,0.052833333,2,0.1076,31,0.047633333,2,0.0961,7,0.0723,1,0.1823,20,0.045633333,18,0.099,23,0.106233333,26,0.085033333,8,0.049366667,4,0.150533333,17,0.045633333,9,0.053733333,7,0.067433333,31,0.055233333,1,0.0983
Cactus Wren,2,0.075833333,3,0.067866667,16,0.108166667,10,0.071433333,31,0.091733333,3,0.0941,4,0.242866667,2,0.1317,24,0.037966667,7,0.239733333,12,0.2273,6,0.1062,27,0.035466667,23,0.0715,20,0.0484,4,0.058033333,25,0.049033333,11,0.051666667,11,0.0419,31,0.075466667
California Gull,31,0.0692,21,0.0578,24,0.078066667,31,0.099,1,0.093933333,4,0.0709,3,0.1312,2,0.083066667,16,0.0502,31,0.050833333,27,0.0753,4,0.296166667,2,0.623866667,2,0.872766667,6,0.102366667,4,0.039133333,2,0.3328,2,0.307133333,30,0.036333333,31,0.040533333
California Quail,23,0.0765,2,0.3764,2,0.048433333,31,0.0559,1,0.323166667,2,0.201866667,2,0.8022,31,0.1184,8,0.1131,19,0.108533333,26,0.0709,13,0.080933333,29,0.223733333,31,0.167966667,1,0.156833333,1,0.224533333,31,0.070733333,22,0.0938,1,0.039833333,1,0.097
California Scrub-Jay,2,0.4629,17,0.081033333,10,0.151866667,24,0.052766667,1,0.9345,3,0.170766667,2,0.522466667,31,0.095666667,12,0.069466667,1,0.092633333,20,0.053433333,2,0.070866667,22,0.136266667,5,0.134366667,3,0.1847,31,0.065,17,0.052366667,13,0.161833333,2,0.059033333,1,0.204533333
California Thrasher,1,0.371966667,5,0.045433333,6,0.083866667,29,0.086533333,31,0.063866667,30,0.043333333,2,0.603066667,13,0.0876,31,0.061966667,10,0.069266667,3,0.1868,1,0.265666667,7,0.053066667,2,0.166433333,26,0.105833333,4,0.075033333,26,0.072866667,1,0.087066667,2,0.035833333,20,0.043166667
California Towhee,1,0.431666667,14,0.1692,19,0.0655,5,0.092233333,31,0.223833333,31,0.047266667,31,0.172733333,7,0.0836,21,0.181766667,31,0.049733333,3,0.198666667,17,0.084666667,28,0.1247,3,0.2785,20,0.055066667,9,0.051366667,1,0.113833333,5,0.1885,31,0.0777,5,0.0739
Calliope Hummingbird,2,0.050033333,15,0.059566667,10,0.041666667,2,0.1821,2,0.1954,10,0.041566667,2,0.134533333,6,0.0638,5,0.051333333,5,0.0455,6,0.044566667,30,0.058266667,31,0.0384,3,0.091633333,22,0.0522,31,0.063866667,3,0.123066667,14,0.104233333,12,0.047866667,19,0.0696
Canada Goose,1,0.999766667,5,0.146966667,17,0.072633333,1,1,1,0.891966667,2,0.371366667,3,0.097966667,10,0.0689,17,0.132966667,1,0.271766667,2,0.104166667,2,0.687566667,1,0.189833333,1,0.999966667,1,0.5577,28,0.0582,2,1,2,0.9876,1,0.041766667,1,0.101066667
Canada Jay,31,0.052366667,31,0.0499,6,0.065233333,2,0.057166667,2,0.517266667,2,0.037366667,31,0.0543,1,0.1022,31,0.0702,11,0.0358,7,0.050566667,1,0.040766667,20,0.0355,1,0.0597,19,0.0432,24,0.035466667,14,0.0375,2,0.102733333,25,0.036766667,3,0.1457
Canvasback,31,0.054533333,31,0.043733333,19,0.040233333,11,0.050666667,14,0.056666667,15,0.0377,1,0.0438,4,0.046433333,3,0.102233333,1,0.1015,3,0.0594,4,0.163533333,30,0.035033333,1,0.133766667,28,0.05,31,0.034633333,4,0.042733333,30,0.0552,31,0.037233333,27,0.034166667
Canyon Towhee,18,0.043966667,1,0.037866667,12,0.188,31,0.054266667,22,0.0514,3,0.056,1,0.993,12,0.080266667,3,0.042733333,5,0.0652,21,0.0494,4,0.081266667,10,0.034266667,26,0.0541,26,0.0601,1,0.050633333,31,0.074133333,18,0.113833333,1,0.0532,3,0.062366667
Canyon Wren,3,0.165433333,6,0.0435,1,0.2192,16,0.050666667,1,0.051633333,31,0.042433333,1,0.1879,30,0.0422,2,0.0431,6,0.044333333,21,0.0525,21,0.0368,11,0.036266667,6,0.067566667,8,0.0637,1,0.1167,20,0.055966667,2,0.999133333,13,0.039366667,1,0.071033333
Carolina Chickadee,5,0.2043,1,1,24,0.1019,1,0.949966667,1,0.260933333,1,0.067366667,3,0.0574,6,0.077033333,31,0.136233333,2,0.712466667,3,0.118333333,1,0.8868,2,0.4778,29,0.102933333,29,0.114366667,29,0.075033333,7,0.062433333,31,0.1285,31,0.053566667,31,0.433066667
